#TYPE Selected.System.Management.Automation.PSCustomObject
"Name";"DisplayName";"ServiceName"
"UALSVC";"User Access Logging Service";"UALSVC"
"UevAgentService";"User Experience Virtualization Service";"UevAgentService"
"UI0Detect";"Interactive Services Detection";"UI0Detect"
"UmRdpService";"Remote Desktop Services UserMode Port Redirector";"UmRdpService"
"upnphost";"UPnP Device Host";"upnphost"
"UserManager";"User Manager";"UserManager"
"UsoSvc";"Update Orchestrator Service";"UsoSvc"
"UsoSvc";"Update Orchestrator Service for Windows Update";"UsoSvc"
"VaultSvc";"Credential Manager";"VaultSvc"
"vds";"Virtual Disk";"vds"
"vmicguestinterface";"Hyper-V Guest Service Interface";"vmicguestinterface"
"vmicheartbeat";"Hyper-V Heartbeat Service";"vmicheartbeat"
"vmickvpexchange";"Hyper-V Data Exchange Service";"vmickvpexchange"
"vmicrdv";"Hyper-V Remote Desktop Virtualization Service";"vmicrdv"
"vmicshutdown";"Hyper-V Guest Shutdown Service";"vmicshutdown"
"vmictimesync";"Hyper-V Time Synchronization Service";"vmictimesync"
"vmicvmsession";"Hyper-V PowerShell Direct Service";"vmicvmsession"
"vmicvss";"Hyper-V Volume Shadow Copy Requestor";"vmicvss"
"VSS";"Volume Shadow Copy";"VSS"
"W32Time";"Windows Time";"W32Time"
"WalletService";"WalletService";"WalletService"
"WarpJITSvc";"Warp JIT Service";"WarpJITSvc"
"WarpJITSvc";"WarpJITSvc";"WarpJITSvc"
"WbioSrvc";"Windows Biometric Service";"WbioSrvc"
"Wcmsvc";"Windows Connection Manager";"Wcmsvc"
"WcsPlugInService";"Windows Color System";"WcsPlugInService"
"WdiServiceHost";"Diagnostic Service Host";"WdiServiceHost"
"WdiSystemHost";"Diagnostic System Host";"WdiSystemHost"
"WdNisSvc";"Windows Defender Network Inspection Service";"WdNisSvc"
"WdNisSvc";"Windows Defender Antivirus Network Inspection Service";"WdNisSvc"
"WdNisSvc";"Microsoft Defender Antivirus Network Inspection Service";"WdNisSvc"
"Wecsvc";"Windows Event Collector";"Wecsvc"
"WEPHOSTSVC";"Windows Encryption Provider Host Service";"WEPHOSTSVC"
"wercplsupport";"Problem Reports Control Panel Support";"wercplsupport"
"wercplsupport";"Problem Reports and Solutions Control Panel Support";"wercplsupport"
"WerSvc";"Windows Error Reporting Service";"WerSvc"
"WiaRpc";"Still Image Acquisition Events";"WiaRpc"
"WinDefend";"Microsoft Defender Antivirus Service";"WinDefend"
"WinDefend";"Windows Defender Service";"WinDefend"
"WinDefend";"Windows Defender Antivirus Service";"WinDefend"
"WinHttpAutoProxySvc";"WinHTTP Web Proxy Auto-Discovery Service";"WinHttpAutoProxySvc"
"Winmgmt";"Windows Management Instrumentation";"Winmgmt"
"WinRM";"Windows Remote Management (WS-Management)";"WinRM"
"wisvc";"Windows Insider Service";"wisvc"
"wlidsvc";"Microsoft Account Sign-in Assistant";"wlidsvc"
"WLMS";"Windows Licensing Monitoring Service";"WLMS"
"wmiApSrv";"WMI Performance Adapter";"wmiApSrv"
"WMPNetworkSvc";"Windows Media Player Network Sharing Service";"WMPNetworkSvc"
"WPDBusEnum";"Portable Device Enumerator Service";"WPDBusEnum"
"WpnService";"Windows Push Notifications System Service";"WpnService"
"WSearch";"Windows Search";"WSearch"
"WSService";"Windows Store Service (WSService)";"WSService"
"wuauserv";"Windows Update";"wuauserv"
"wudfsvc";"Windows Driver Foundation - User-mode Driver Framework";"wudfsvc"
"WaaSMedicSvc";"Windows Update Medic Service";"WaaSMedicSvc"
"XblAuthManager";"Xbox Live Auth Manager";"XblAuthManager"
"XblGameSave";"Xbox Live Game Save";"XblGameSave"
